1, Edgar Allan Poe
2, Jane Austen
3, Lewis Carroll
4, Oscar Wilde
5, Mary Wollstonecraft Shelley
6, Daniel Defoe
7, Charlotte Perkins Gilman
8, Plato
9, Jonathan Swift
10, Henrik Ibsen
11, Charles Dickens
12, Arthur Conan Doyle
13, Herman Melville
14, Robert Louis Stevenson
15, Louisa May Alcott
14, Robert Louis Stevenson
16, Franz Kafka
17, Thomas Jefferson
18, Mark Twain
4, Oscar Wilde
18, Mark Twain
19, Jack London
20, Bram Stoker
2, Jane Austen
21, Leo Tolstoy
22, Henry David Thoreau
23, Henry Bursill
24, Ayn Rand
25, Wilhelm Grimm
26, Charlotte Brontë

